 (1.775302763611940193e+01+0.000000000000000000e+00j)  (-6.617079536488083669e+00+-1.152024729057457453e+00j)  (-7.549430426831439389e-01+9.955712378692228581e-01j)  (-7.549430426831469365e-01+-9.955712378692206377e-01j)  (-6.617079536488078340e+00+1.152024729057476327e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.970149253731343343e-04+0.000000000000000000e+00j)  (1.194029850746268669e-03+0.000000000000000000e+00j)  (-1.194029850746268669e-03+0.000000000000000000e+00j)  (-5.970149253731343343e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.673000000000000000e+03+0.000000000000000000e+00j)  (1.674000000000000000e+03+0.000000000000000000e+00j)
