 (1.645285292129494081e+01+0.000000000000000000e+00j)  (-7.904413104382641109e+00+-2.739810851440639183e+00j)  (-1.119313464780268053e+00+1.166510598925095898e+00j)  (-1.119313464780270273e+00+-1.166510598925094122e+00j)  (-7.904413104382637556e+00+2.739810851440649841e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.162622612287042206e-04+0.000000000000000000e+00j)  (1.032524522457408441e-03+0.000000000000000000e+00j)  (-1.032524522457408441e-03+0.000000000000000000e+00j)  (-5.162622612287042206e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.935000000000000000e+03+0.000000000000000000e+00j)  (1.936000000000000000e+03+0.000000000000000000e+00j)
