 (1.879776641976584273e+01+0.000000000000000000e+00j)  (-5.093254266219099158e+00+-4.998608824057823585e-02j)  (-4.792823534821395448e-01+8.606954618032672810e-01j)  (-4.792823534821403220e-01+-8.606954618032653936e-01j)  (-5.093254266219099158e+00+4.998608824059651290e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.887052341597796334e-04+0.000000000000000000e+00j)  (1.377410468319559267e-03+0.000000000000000000e+00j)  (-1.377410468319559267e-03+0.000000000000000000e+00j)  (-6.887052341597796334e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.450000000000000000e+03+0.000000000000000000e+00j)  (1.451000000000000000e+03+0.000000000000000000e+00j)
