 (1.445053361977935324e+01+0.000000000000000000e+00j)  (-8.565755296107427696e+00+-5.204746703022217424e+00j)  (-1.698800476855910180e+00+1.364497379745955863e+00j)  (-1.698800476855912844e+00+-1.364497379745954531e+00j)  (-8.565755296107427696e+00+5.204746703022228971e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.338394793926247093e-04+0.000000000000000000e+00j)  (8.676789587852494186e-04+0.000000000000000000e+00j)  (-8.676789587852494186e-04+0.000000000000000000e+00j)  (-4.338394793926247093e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (2.303000000000000000e+03+0.000000000000000000e+00j)  (2.304000000000000000e+03+0.000000000000000000e+00j)
