 (1.803624986318068579e+01+0.000000000000000000e+00j)  (-6.242120257677300721e+00+-8.242049605397312462e-01j)  (-6.747462143263408541e-01+9.595484441956850796e-01j)  (-6.747462143263431855e-01+-9.595484441956838584e-01j)  (-6.242120257677298945e+00+8.242049605397464562e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.188118811881188194e-04+0.000000000000000000e+00j)  (1.237623762376237639e-03+0.000000000000000000e+00j)  (-1.237623762376237639e-03+0.000000000000000000e+00j)  (-6.188118811881188194e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.614000000000000000e+03+0.000000000000000000e+00j)  (1.615000000000000000e+03+0.000000000000000000e+00j)
