 (1.742550171980425944e+01+0.000000000000000000e+00j)  (-6.973057675577592818e+00+-1.502810487390480620e+00j)  (-8.369023742733889826e-01+1.034940558052763526e+00j)  (-8.369023742733883164e-01+-1.034940558052760418e+00j)  (-6.973057675577595482e+00+1.502810487390499716e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.757052389176741964e-04+0.000000000000000000e+00j)  (1.151410477835348393e-03+0.000000000000000000e+00j)  (-1.151410477835348393e-03+0.000000000000000000e+00j)  (-5.757052389176741964e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.735000000000000000e+03+0.000000000000000000e+00j)  (1.736000000000000000e+03+0.000000000000000000e+00j)
