 (1.897632804165476372e+01+0.000000000000000000e+00j)  (-4.713391872370530145e+00+1.491862253517970693e-01j)  (-4.253275797892032695e-01+8.307815070343885777e-01j)  (-4.253275797892032695e-01+-8.307815070343885777e-01j)  (-4.713391872370529256e+00+-1.491862253517906300e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (7.132667617689015908e-04+0.000000000000000000e+00j)  (1.426533523537803182e-03+0.000000000000000000e+00j)  (-1.426533523537803182e-03+0.000000000000000000e+00j)  (-7.132667617689015908e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.400000000000000000e+03+0.000000000000000000e+00j)  (1.401000000000000000e+03+0.000000000000000000e+00j)
