 (1.589308969699326823e+01+0.000000000000000000e+00j)  (-8.363904978923812905e+00+-3.711032305012840649e+00j)  (-1.343995511053285297e+00+1.258360058098066947e+00j)  (-1.343995511053289960e+00+-1.258360058098061396e+00j)  (-8.363904978923789812e+00+3.711032305012883725e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.807692307692307959e-04+0.000000000000000000e+00j)  (9.615384615384615918e-04+0.000000000000000000e+00j)  (-9.615384615384615918e-04+0.000000000000000000e+00j)  (-4.807692307692307959e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (2.078000000000000000e+03+0.000000000000000000e+00j)  (2.079000000000000000e+03+0.000000000000000000e+00j)
