 (1.720354881114317180e+01+0.000000000000000000e+00j)  (-7.329303661742279097e+00+-1.884618848443908812e+00j)  (-9.244866650379242046e-01+1.082556598239095669e+00j)  (-9.244866650379263140e-01+-1.082556598239093892e+00j)  (-7.329303661742266662e+00+1.884618848443937678e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.549389567147613870e-04+0.000000000000000000e+00j)  (1.109877913429522774e-03+0.000000000000000000e+00j)  (-1.109877913429522774e-03+0.000000000000000000e+00j)  (-5.549389567147613870e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.800000000000000000e+03+0.000000000000000000e+00j)  (1.801000000000000000e+03+0.000000000000000000e+00j)
