 (1.502855121044883191e+01+0.000000000000000000e+00j)  (-8.566709911407032862e+00+-4.725855071387483619e+00j)  (-1.585573003028524885e+00+1.330020366755976013e+00j)  (-1.585573003028525108e+00+-1.330020366755974681e+00j)  (-8.566709911407016875e+00+4.725855071387495165e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.488330341113106088e-04+0.000000000000000000e+00j)  (8.976660682226212176e-04+0.000000000000000000e+00j)  (-8.976660682226212176e-04+0.000000000000000000e+00j)  (-4.488330341113106088e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (2.226000000000000000e+03+0.000000000000000000e+00j)  (2.227000000000000000e+03+0.000000000000000000e+00j)
