 (1.834475261488132247e+01+0.000000000000000000e+00j)  (-5.866645403214759469e+00+-5.361454384702092346e-01j)  (-6.043741324062441578e-01+9.257729743220761698e-01j)  (-6.043741324062441578e-01+-9.257729743220761698e-01j)  (-5.866645403214759469e+00+5.361454384702092346e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.414368184733803277e-04+0.000000000000000000e+00j)  (1.282873636946760655e-03+0.000000000000000000e+00j)  (-1.282873636946760655e-03+0.000000000000000000e+00j)  (-6.414368184733803277e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.557000000000000000e+03+0.000000000000000000e+00j)  (1.558000000000000000e+03+0.000000000000000000e+00j)
