 (1.946654577014218646e+01+0.000000000000000000e+00j)  (-3.648189599762827751e+00+6.081901828672036103e-01j)  (-2.912009642063172477e-01+7.581483615746642535e-01j)  (-2.912009642063185244e-01+-7.581483615746642535e-01j)  (-3.648189599762829971e+00+-6.081901828671941734e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (7.898894154818325315e-04+0.000000000000000000e+00j)  (1.579778830963665063e-03+0.000000000000000000e+00j)  (-1.579778830963665063e-03+0.000000000000000000e+00j)  (-7.898894154818325315e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.264000000000000000e+03+0.000000000000000000e+00j)  (1.265000000000000000e+03+0.000000000000000000e+00j)
