 (1.596692753445166346e+01+0.000000000000000000e+00j)  (-8.111973170238524489e+00+-3.199543615012859110e+00j)  (-1.224045103929257028e+00+1.204104533354317219e+00j)  (-1.224045103929256362e+00+-1.204104533354312334e+00j)  (-8.111973170238522712e+00+3.199543615012880426e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.982561036372695372e-04+0.000000000000000000e+00j)  (9.965122072745390743e-04+0.000000000000000000e+00j)  (-9.965122072745390743e-04+0.000000000000000000e+00j)  (-4.982561036372695372e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (2.005000000000000000e+03+0.000000000000000000e+00j)  (2.006000000000000000e+03+0.000000000000000000e+00j)
