 (1.852764850498670413e+01+0.000000000000000000e+00j)  (-5.473204571341866220e+00+-2.813119170092969190e-01j)  (-5.399245030008354984e-01+8.891371061705789502e-01j)  (-5.399245030008386070e-01+-8.891371061705771739e-01j)  (-5.473204571341860003e+00+2.813119170093238974e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (6.648936170212765796e-04+0.000000000000000000e+00j)  (1.329787234042553159e-03+0.000000000000000000e+00j)  (-1.329787234042553159e-03+0.000000000000000000e+00j)  (-6.648936170212765796e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.502000000000000000e+03+0.000000000000000000e+00j)  (1.503000000000000000e+03+0.000000000000000000e+00j)
