 (1.669321038123731071e+01+0.000000000000000000e+00j)  (-7.607742100412074215e+00+-2.293051780925684291e+00j)  (-1.017025233992878031e+00+1.117928691509318284e+00j)  (-1.017025233992878919e+00+-1.117928691509316952e+00j)  (-7.607742100412071551e+00+2.293051780925698058e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.353319057815846124e-04+0.000000000000000000e+00j)  (1.070663811563169225e-03+0.000000000000000000e+00j)  (-1.070663811563169225e-03+0.000000000000000000e+00j)  (-5.353319057815846124e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.866000000000000000e+03+0.000000000000000000e+00j)  (1.867000000000000000e+03+0.000000000000000000e+00j)
