 (1.526206103516297041e+01+0.000000000000000000e+00j)  (-8.446700131182620197e+00+-4.191408031895403674e+00j)  (-1.455298658471494200e+00+1.288496645921364925e+00j)  (-1.455298658471494200e+00+-1.288496645921364925e+00j)  (-8.446700131182620197e+00+4.191408031895403674e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.644681839294008429e-04+0.000000000000000000e+00j)  (9.289363678588016858e-04+0.000000000000000000e+00j)  (-9.289363678588016858e-04+0.000000000000000000e+00j)  (-4.644681839294008429e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (2.151000000000000000e+03+0.000000000000000000e+00j)  (2.152000000000000000e+03+0.000000000000000000e+00j)
