 (1.419115130595327301e+01+0.000000000000000000e+00j)  (-8.581035874847573908e+00+-5.745520909356834238e+00j)  (-1.838452635479642439e+00+1.398237126060749125e+00j)  (-1.838452635479645103e+00+-1.398237126060745128e+00j)  (-8.581035874847549039e+00+5.745520909356866213e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.198152812762384438e-04+0.000000000000000000e+00j)  (8.396305625524768876e-04+0.000000000000000000e+00j)  (-8.396305625524768876e-04+0.000000000000000000e+00j)  (-4.198152812762384438e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (2.380000000000000000e+03+0.000000000000000000e+00j)  (2.381000000000000000e+03+0.000000000000000000e+00j)
