 (1.918210774180208134e+01+0.000000000000000000e+00j)  (-4.345948843457721367e+00+3.193262548517078470e-01j)  (-3.783517248159947166e-01+8.036887159694280358e-01j)  (-3.783517248159947166e-01+-8.036887159694280358e-01j)  (-4.345948843457721367e+00+-3.193262548517006305e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (7.385524372230428854e-04+0.000000000000000000e+00j)  (1.477104874446085771e-03+0.000000000000000000e+00j)  (-1.477104874446085771e-03+0.000000000000000000e+00j)  (-7.385524372230428854e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.352000000000000000e+03+0.000000000000000000e+00j)  (1.353000000000000000e+03+0.000000000000000000e+00j)
