 (1.932328891283422223e+01+0.000000000000000000e+00j)  (-3.988902590064168141e+00+4.752734571219989768e-01j)  (-3.319283256359206180e-01+7.798534849212661602e-01j)  (-3.319283256359226164e-01+-7.798534849212652720e-01j)  (-3.988902590064169473e+00+-4.752734571219877635e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (7.639419404125286344e-04+0.000000000000000000e+00j)  (1.527883880825057269e-03+0.000000000000000000e+00j)  (-1.527883880825057269e-03+0.000000000000000000e+00j)  (-7.639419404125286344e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)  (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.307000000000000000e+03+0.000000000000000000e+00j)  (1.308000000000000000e+03+0.000000000000000000e+00j)
